text,intent
"Is (R\{0}, ×) a group? Explain",ADVANCED_MATH
"Student mistake: Z_6 is a field because it has 6 elements",ADVANCED_MATH
"Find the order of 5 in Z_12",ADVANCED_MATH
"Prove that matrix multiplication is not commutative",ADVANCED_MATH
"Determine whether x^2+1 is irreducible over Q",ADVANCED_MATH
"Compute the gradient of f(x,y,z)=x^2yz + z^3",ADVANCED_MATH
"Find the divergence of F=(xy, yz, zx)",ADVANCED_MATH
"Compute the curl of F=(y, z, x)",ADVANCED_MATH
"Evaluate ∮C (x dy − y dx) around the unit circle",ADVANCED_MATH
"Use Stokes' theorem to compute ∮C F·dr for F=(z,0,x)",ADVANCED_MATH
"Compute ∮ |z|=1 (1/z) dz",ADVANCED_MATH
"Find the residue of 1/(z^2+4) at z=2i",ADVANCED_MATH
"Student mistake: |z|^2 is analytic because it has x^2+y^2",ADVANCED_MATH
"Use Cauchy's integral formula to compute f(0) for f(z)=1/(1−z)",ADVANCED_MATH
"Explain step-by-step how to diagonalize a symmetric matrix",ADVANCED_MATH
"Show the reasoning to compute ∫ x e^x dx using integration by parts",ADVANCED_MATH
"Walk through the logic of proving the Mean Value Theorem",ADVANCED_MATH
"Give the full reasoning to find eigenvalues of a 3×3 matrix",ADVANCED_MATH
"Explain each step in computing the curl of F=(yz, xz, xy)",ADVANCED_MATH
"Show the reasoning behind finding the Taylor series of sin(x)",ADVANCED_MATH
"I think derivative of sin(x) is cos(x^2)?",ADVANCED_MATH
"Is ∫ x dx = 1/x ?",ADVANCED_MATH
"Eigenvalues of [[1,2],[3,4]] are 1 and 4 because diagonal",ADVANCED_MATH
"Limit of (1+1/n)^n is 1 because 1+1/n→1",ADVANCED_MATH
"Matrix [[1,2],[2,4]] is invertible because numbers are nonzero",ADVANCED_MATH
"Series Σ 1/n^2 diverges because terms don't go to zero fast enough",ADVANCED_MATH
"State and prove the Fundamental Theorem of Calculus",ADVANCED_MATH
"Explain the Rank-Nullity Theorem with an example",ADVANCED_MATH
"State the Spectral Theorem and show a simple application",ADVANCED_MATH
"Prove the Cauchy-Schwarz inequality",ADVANCED_MATH
"Explain the Heine-Borel theorem in R",ADVANCED_MATH







